Assets,Zero Rate Assets SW,Zero Rate Assets Alternative,Assets Reevaluated,Asset Duration,Liabilities,Zero Rate Liabilities SW,Zero Rate Liabilities Alternative,Liabilities Reevaluated,Liability Duration,Own Funds,Own Funds Reevaluated,Own Funds Impact,Own Funds Impact rel.
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,750000.0,0.04547036947973704,0.04775449074827981,738440.9813888127,6.8,250000.0,261559.01861118735,11559.018611187348,0.04623607444474939
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,750000.0,0.04540787859329324,0.0474932168706289,738915.736842725,7.14,250000.0,261084.26315727504,11084.26315727504,0.044337052629100156
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,750000.0,0.04537213751538812,0.047270731917497345,739424.1594763852,7.4799999999999995,250000.0,260575.84052361478,10575.840523614781,0.042303362094459125
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,750000.0,0.045336396437482995,0.047066986165053656,739918.4629027017,7.819999999999999,250000.0,260081.5370972983,10081.537097298307,0.04032614838919323
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,750000.0,0.04531441644024862,0.04689190655225818,740407.6309845228,8.16,250000.0,259592.36901547725,9592.369015477248,0.03836947606190899
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,750000.0,0.04530791765876882,0.04674506186485895,740893.9375038483,8.5,250000.0,259106.06249615166,9106.062496151659,0.03642424998460664
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,750000.0,0.04530141887728902,0.04661099191526766,741367.5942313668,8.84,250000.0,258632.40576863324,8632.405768633238,0.03452962307453295
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,750000.0,0.04530868202401252,0.04650724819508331,741793.1042773777,9.18,250000.0,258206.89572262228,8206.895722622285,0.03282758289048914
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,750000.0,0.04532817799580561,0.046430508363471124,742170.5150605745,9.52,250000.0,257829.48493942549,7829.484939425485,0.03131793975770194
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,750000.0,0.045347673967598694,0.04636286423407842,742530.1162815649,9.86,250000.0,257469.88371843507,7469.8837184350705,0.02987953487374028
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,775000.0,0.04547036947973704,0.04775449074827981,763055.6807684398,6.8,225000.0,236944.31923156022,11944.319231560221,0.05308586325137876
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,775000.0,0.04540787859329324,0.0474932168706289,763546.2614041491,7.14,225000.0,236453.73859585088,11453.738595850882,0.05090550487044836
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,775000.0,0.04537213751538812,0.047270731917497345,764071.6314589314,7.4799999999999995,225000.0,235928.36854106863,10928.36854106863,0.04857052684919391
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,775000.0,0.045336396437482995,0.047066986165053656,764582.4116661251,7.819999999999999,225000.0,235417.58833387494,10417.58833387494,0.04630039259499974
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,775000.0,0.04531441644024862,0.04689190655225818,765087.8853506735,8.16,225000.0,234912.11464932654,9912.11464932654,0.044053842885895735
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,775000.0,0.04530791765876882,0.04674506186485895,765590.40208731,8.5,225000.0,234409.59791269002,9409.59791269002,0.0418204351675112
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,775000.0,0.04530141887728902,0.04661099191526766,766079.8473724123,8.84,225000.0,233920.15262758767,8920.152627587668,0.03964512278927852
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,775000.0,0.04530868202401252,0.04650724819508331,766519.5410866237,9.18,225000.0,233480.45891337632,8480.458913376322,0.037690928503894765
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,775000.0,0.04532817799580561,0.046430508363471124,766909.5322292603,9.52,225000.0,233090.4677707397,8090.467770739691,0.03595763453662085
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,775000.0,0.045347673967598694,0.04636286423407842,767281.120157617,9.86,225000.0,232718.87984238297,7718.879842382972,0.03430613263281321
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,800000.0,0.04547036947973704,0.04775449074827981,787670.3801480669,6.8,200000.0,212329.6198519331,12329.619851933094,0.06164809925966547
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,800000.0,0.04540787859329324,0.0474932168706289,788176.7859655733,7.14,200000.0,211823.21403442672,11823.214034426725,0.05911607017213362
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,800000.0,0.04537213751538812,0.047270731917497345,788719.1034414775,7.4799999999999995,200000.0,211280.89655852248,11280.89655852248,0.0564044827926124
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,800000.0,0.045336396437482995,0.047066986165053656,789246.3604295484,7.819999999999999,200000.0,210753.63957045157,10753.639570451574,0.05376819785225787
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,800000.0,0.04531441644024862,0.04689190655225818,789768.1397168243,8.16,200000.0,210231.86028317572,10231.860283175716,0.05115930141587858
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,800000.0,0.04530791765876882,0.04674506186485895,790286.8666707715,8.5,200000.0,209713.1333292285,9713.133329228498,0.04856566664614249
