Assets,Zero Rate Assets SW,Zero Rate Assets Alternative,Assets Reevaluated,Asset Duration,Liabilities,Zero Rate Liabilities SW,Zero Rate Liabilities Alternative,Liabilities Reevaluated,Liability Duration,Own Funds,Own Funds Reevaluated,Own Funds Impact,Own Funds Impact rel.
1000000.0,0.0036752370704274864,0.0036752370704274864,1000000.0,6.8,750000.0,0.006498831805039228,0.0086748833473412,738983.8420114833,6.8,250000.0,261016.15798851673,11016.15798851673,0.04406463195406692
1000000.0,0.0036752370704274864,0.0036752370704274864,1000000.0,6.8,750000.0,0.006433857555606851,0.008412662522928504,739478.0053141307,7.14,250000.0,260521.99468586931,10521.994685869315,0.04208797874347726
1000000.0,0.0036752370704274864,0.0036752370704274864,1000000.0,6.8,750000.0,0.006396695947284951,0.008189917893841889,740007.1929621605,7.4799999999999995,250000.0,259992.80703783955,9992.80703783955,0.0399712281513582
1000000.0,0.0036752370704274864,0.0036752370704274864,1000000.0,6.8,750000.0,0.006359534338963051,0.007985912465443147,740521.6939120431,7.819999999999999,250000.0,259478.30608795688,9478.30608795688,0.03791322435182752
1000000.0,0.0036752370704274864,0.0036752370704274864,1000000.0,6.8,750000.0,0.006336680738102958,0.007811061964160413,741030.8487904832,8.16,250000.0,258969.1512095168,8969.1512095168,0.0358766048380672
1000000.0,0.0036752370704274864,0.0036752370704274864,1000000.0,6.8,750000.0,0.006329923645637397,0.007664996274175159,741537.0222468739,8.5,250000.0,258462.97775312606,8462.977753126062,0.03385191101250425
1000000.0,0.0036752370704274864,0.0036752370704274864,1000000.0,6.8,750000.0,0.006323166553171836,0.007531705321997862,742030.0372477022,8.84,250000.0,257969.96275229775,7969.9627522977535,0.03187985100919102
1000000.0,0.0036752370704274864,0.0036752370704274864,1000000.0,6.8,750000.0,0.006330718384411577,0.007429496422364248,742472.9389409777,9.18,250000.0,257527.06105902232,7527.061059022322,0.03010824423608929
1000000.0,0.0036752370704274864,0.0036752370704274864,1000000.0,6.8,750000.0,0.00635098925894492,0.007354963254090992,742865.7738541788,9.52,250000.0,257134.22614582116,7134.226145821158,0.02853690458328463
1000000.0,0.0036752370704274864,0.0036752370704274864,1000000.0,6.8,750000.0,0.006371260133478263,0.007289525788037202,743240.0741841639,9.86,250000.0,256759.92581583606,6759.925815836061,0.027039703263344244
1000000.0,0.0036752370704274864,0.0036752370704274864,1000000.0,6.8,775000.0,0.006498831805039228,0.0086748833473412,763616.6367451994,6.8,225000.0,236383.36325480056,11383.363254800555,0.05059272557689136
1000000.0,0.0036752370704274864,0.0036752370704274864,1000000.0,6.8,775000.0,0.006433857555606851,0.008412662522928504,764127.272157935,7.14,225000.0,235872.72784206504,10872.72784206504,0.0483232348536224
1000000.0,0.0036752370704274864,0.0036752370704274864,1000000.0,6.8,775000.0,0.006396695947284951,0.008189917893841889,764674.0993942325,7.4799999999999995,225000.0,235325.9006057675,10325.9006057675,0.04589289158118889
1000000.0,0.0036752370704274864,0.0036752370704274864,1000000.0,6.8,775000.0,0.006359534338963051,0.007985912465443147,765205.750375778,7.819999999999999,225000.0,234794.24962422205,9794.249624222051,0.04352999832987579
1000000.0,0.0036752370704274864,0.0036752370704274864,1000000.0,6.8,775000.0,0.006336680738102958,0.007811061964160413,765731.8770834993,8.16,225000.0,234268.12291650067,9268.122916500666,0.04119165740666963
1000000.0,0.0036752370704274864,0.0036752370704274864,1000000.0,6.8,775000.0,0.006329923645637397,0.007664996274175159,766254.9229884364,8.5,225000.0,233745.07701156358,8745.077011563582,0.03886700894028259
1000000.0,0.0036752370704274864,0.0036752370704274864,1000000.0,6.8,775000.0,0.006323166553171836,0.007531705321997862,766764.3718226256,8.84,225000.0,233235.62817737437,8235.628177374369,0.036602791899441635
1000000.0,0.0036752370704274864,0.0036752370704274864,1000000.0,6.8,775000.0,0.006330718384411577,0.007429496422364248,767222.0369056768,9.18,225000.0,232777.96309432318,7777.963094323175,0.034568724863658556
1000000.0,0.0036752370704274864,0.0036752370704274864,1000000.0,6.8,775000.0,0.00635098925894492,0.007354963254090992,767627.9663159847,9.52,225000.0,232372.03368401527,7372.033684015274,0.032764594151178994
1000000.0,0.0036752370704274864,0.0036752370704274864,1000000.0,6.8,775000.0,0.006371260133478263,0.007289525788037202,768014.743323636,9.86,225000.0,231985.256676364,6985.256676363992,0.031045585228284406
1000000.0,0.0036752370704274864,0.0036752370704274864,1000000.0,6.8,800000.0,0.006498831805039228,0.0086748833473412,788249.4314789155,6.8,200000.0,211750.5685210845,11750.568521084497,0.05875284260542248
1000000.0,0.0036752370704274864,0.0036752370704274864,1000000.0,6.8,800000.0,0.006433857555606851,0.008412662522928504,788776.5390017394,7.14,200000.0,211223.46099826065,11223.460998260649,0.05611730499130325
1000000.0,0.0036752370704274864,0.0036752370704274864,1000000.0,6.8,800000.0,0.006396695947284951,0.008189917893841889,789341.0058263046,7.4799999999999995,200000.0,210658.99417369545,10658.99417369545,0.053294970868477246
1000000.0,0.0036752370704274864,0.0036752370704274864,1000000.0,6.8,800000.0,0.006359534338963051,0.007985912465443147,789889.8068395127,7.819999999999999,200000.0,210110.19316048734,10110.193160487339,0.0505509658024367
1000000.0,0.0036752370704274864,0.0036752370704274864,1000000.0,6.8,800000.0,0.006336680738102958,0.007811061964160413,790432.9053765155,8.16,200000.0,209567.09462348453,9567.094623484532,0.04783547311742266
