Assets,Zero Rate Assets SW,Zero Rate Assets Alternative,Assets Reevaluated,Asset Duration,Liabilities,Zero Rate Liabilities SW,Zero Rate Liabilities Alternative,Liabilities Reevaluated,Liability Duration,Own Funds,Own Funds Reevaluated,Own Funds Impact,Own Funds Impact rel.
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,750000.0,0.04547036947973704,0.051406575442567194,720328.246461264,6.8,250000.0,279671.753538736,29671.753538736026,0.1186870141549441
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,750000.0,0.04540787859329324,0.05097251972389696,720785.5571606267,7.14,250000.0,279214.44283937325,29214.442839373252,0.116857771357493
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,750000.0,0.04537213751538812,0.05059286319576024,721276.2255731414,7.4799999999999995,250000.0,278723.77442685864,28723.77442685864,0.11489509770743456
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,750000.0,0.045336396437482995,0.05024553206300339,721753.5707917099,7.819999999999999,250000.0,278246.42920829006,28246.429208290065,0.11298571683316026
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,750000.0,0.04531441644024862,0.04993876462495796,722226.3004750169,8.16,250000.0,277773.69952498307,27773.699524983065,0.11109479809993227
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,750000.0,0.04530791765876882,0.04967070973844547,722696.5856582904,8.5,250000.0,277303.4143417096,27303.414341709577,0.1092136573668383
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,750000.0,0.04530141887728902,0.04942470459318263,723154.8388168509,8.84,250000.0,276845.1611831491,26845.161183149088,0.10738064473259636
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,750000.0,0.04530868202401252,0.049217275325426815,723566.4015010697,9.18,250000.0,276433.59849893034,26433.59849893034,0.10573439399572136
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,750000.0,0.04532817799580561,0.049044220005497845,723931.2914702258,9.52,250000.0,276068.7085297742,26068.708529774216,0.10427483411909687
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,750000.0,0.045347673967598694,0.048886871610632404,724279.0293333431,9.86,250000.0,275720.97066665685,25720.970666656853,0.10288388266662742
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,775000.0,0.04547036947973704,0.051406575442567194,744339.1880099727,6.8,225000.0,255660.81199002732,30660.811990027316,0.13627027551123252
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,775000.0,0.04540787859329324,0.05097251972389696,744811.7423993143,7.14,225000.0,255188.2576006857,30188.257600685698,0.13417003378082532
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,775000.0,0.04537213751538812,0.05059286319576024,745318.7664255793,7.4799999999999995,225000.0,254681.23357442068,29681.23357442068,0.13191659366409192
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,775000.0,0.045336396437482995,0.05024553206300339,745812.0231514336,7.819999999999999,225000.0,254187.97684856644,29187.97684856644,0.12972434154918416
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,775000.0,0.04531441644024862,0.04993876462495796,746300.5104908509,8.16,225000.0,253699.4895091491,28699.489509149105,0.12755328670732935
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,775000.0,0.04530791765876882,0.04967070973844547,746786.4718469002,8.5,225000.0,253213.52815309982,28213.528153099818,0.12539345845822142
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,775000.0,0.04530141887728902,0.04942470459318263,747260.0001107459,8.84,225000.0,252739.9998892541,27739.999889254104,0.1232888883966849
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,775000.0,0.04530868202401252,0.049217275325426815,747685.2815511053,9.18,225000.0,252314.71844889468,27314.71844889468,0.12139874866175414
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,775000.0,0.04532817799580561,0.049044220005497845,748062.3345192333,9.52,225000.0,251937.66548076668,26937.66548076668,0.11972295769229635
1000000.0,0.042754844471366155,0.042754844471366155,1000000.0,6.8,775000.0,0.045347673967598694,0.048886871610632404,748421.6636444546,9.86,225000.0,251578.33635554544,26578.33635554544,0.11812593935797974
